KEY,English,Japanese,Chinese,Chinese-Simplified,Korean,Spanish,French,German,Italian,Russian,Arabic,Persian-Farsi,Norwegian,Turkish
Start,??,Start,??,??,??,??,??,??,,,,,,Başla
Start Game,??,??,??,??,??,,,,,,,,,Oyuna Başla
Next,,,,,,,,,,,,,,Sonraki
Back,,,,,,,,,,,,,,Geri Dön
Continue,,,,,,,,,,,,,,Devam Et
Restart,,,,,,,,,,,,,,Yeniden Başla
Restart Level,,,,,,,,,,,,,,Bölüme Yeniden Başla
Try Again?,,,,,,,,,,,,,,Tekrar Dene?
Home,,,,,,,,,,,,,,Ana Ekran
Main Menu,,,,,,,,,,,,,,Ana Menü
Menu,,,,,,,,,,,,,,Menü
Yes,,,,,,,,,,,,,,Evet
No,,,,,,,,,,,,,,Hayır
Okay,,,,,,,,,,,,,,Tamam
Cancel,,,,,,,,,,,,,,İptal
Buy,,,,,,,,,,,,,,Satın Al
Buy now,,,,,,,,,,,,,,Hemen Satın Al
Coin,,,,,,,,,,,,,,Altın
Coins,,,,,,,,,,,,,,Altın
Key,,,,,,,,,,,,,,Anahtar
Keys,,,,,,,,,,,,,,Anahtarlar
Awesome,,,,,,,,,,,,,,Harika
Fight!,,,,,,,,,,,,,,Dövüş!
